Film,Year,IMDB LINK,Location Display Text,GEO_ID
The Wiz,1978,http://www.imdb.com/title/tt0078504/,World Trade Center Lower Manhattan,209
The Wrong Man,1956,http://imdb.com/title/tt0051207/,Subway at 53rd St. and Fifth Ave. Midtown Manhattan,210
Three Days of the Condor,1975,http://www.imdb.com/title/tt0073802/,Riverside Drive Upper West Side Manhattan,211
Times Square,1980,http://www.imdb.com/title/tt0081635/,W. 42nd St. between Seventh Ave. and Eighth Ave. Times Square Manhattan,212
Tootsie,1982,http://www.imdb.com/title/tt0084805/,W. 42nd between Ninth Ave. and Tenth Ave. Midtown Manhattan,213
Two for the Seesaw,1962,http://www.imdb.com/title/tt0056626/,Brooklyn Bridge,214
Up the Down Staircase,1967,http://www.imdb.com/title/tt0062425/,East Harlem (El Barrio) Manhattan,215
Up the Sandbox,1972,http://www.imdb.com/title/tt0069449/,Carousel Central Park Manhattan,216
Up the Sandbox,1972,http://www.imdb.com/title/tt0069449/,Riverside Park near W. 109th St. Morningside Heights Manhattan,217
Uptown Girls,2003,http://www.imdb.com/title/tt0263757/,Astroland Coney Island  Brooklyn,218
Vanilla Sky,2001,http://www.imdb.com/title/tt0259711/,W. 45th St. and Seventh Ave. Times Square Manhattan,219
Wall Street,1987,http://www.imdb.com/title/tt0094291/,New York Stock Exchange Exchange Place Lower Manhattan,220
Wall Street,1987,http://www.imdb.com/title/tt0094291/,Broadway and Vesey St.,221
West Side Story,1961,http://imdb.com/title/tt0055614/,W. 68th St. Upper West Side Manhattan,222
West Side Story,1961,http://imdb.com/title/tt0055614/,W. 68th St. Upper West Side Manhattan,223
When Harry Met Sally…,1989,http://www.imdb.com/title/tt0098635/,Katz's Deli 205 E. Houston St. Manhattan,224
When Harry Met Sally…,1989,http://www.imdb.com/title/tt0098635/,Washington Square Park West Village Manhattan,225
Wolfen,1981,http://www.imdb.com/title/tt0083336/,World Trade Center Lower Manhattan,226
Wolfen,1981,http://www.imdb.com/title/tt0083336/,Manhattan Bridge,227
Wolfen,1981,http://www.imdb.com/title/tt0083336/,Charlotte St. The Bronx,228
Working Girl,1988,http://www.imdb.com/title/tt0096463/,Staten Island Ferry New York Harbor,229
You're a Big Boy Now,1966,http://www.imdb.com/title/tt0061209/,Steeplechase Park Coney Island Brooklyn,230
You're a Big Boy Now,1966,http://www.imdb.com/title/tt0061209/,"New York Public Library Fifth Ave. and 41st St. Manhattan
",231
You've Got Mail,1998,http://www.imdb.com/title/tt0128853/,Verdi Square W. 73rd St.  & Broadway Manhattan,232
You've Got Mail,1998,http://www.imdb.com/title/tt0128853/,91st Street Community Garden Riverside Park Manhattan,233
